Serial Number,Part Number,Error Code,Error Description,Last Station Known
"1651622024169","920-23487-2531-0R0","111008006_003-012-1-000000000363","Row remapping failed","PT2_REPAIR"
"1651622024171","920-23487-2531-0R0","981600","找不到设备/显卡(Device/board not recognized)-Redstone being shipped for repair","FCT_REPAIR"
"1651623000518","692-2G520-0200-5R0","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9675447", waiting until "load"[22m
","FCT_REPAIR"
"1651623000972","692-2G520-0200-5R0","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","CHIFLASH_REPAIR"
"1651623001430","692-2G520-0200-5R0","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","CHIFLASH_REPAIR"
"1651623001648","692-2G520-0200-5R0","EC143","PCI Express bus error","BAT_REPAIR"
"1651623001723","692-2G520-0200-5R0","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1651623001935","692-2G520-0200-5R0","EC143","PCI Express bus error","PHT_REPAIR"
"1651623002386","692-2G520-0200-5R0","EC140","NvLink bus error","FCT_REPAIR"
"1651623002554","692-2G520-0200-5R0","EC143","PCI Express bus error","PHT_REPAIR"
"1651623003125","692-2G520-0200-5R0","EC281","Temperature above specified limit-Top Level (recipe_sample) > BAT ERROR: Hotspot offset temp (19.27degC) is greater than allowed (19.00degC)","BAT_REPAIR"
"1651623004174","692-2G520-0200-5R0","EC316","ECC detected a correctable error in FB","BAT_REPAIR"
"1651623004423","692-2G520-0200-5R0","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9717089", waiting until "load"[22m
","BAT_REPAIR"
"1651623005272","692-2G520-0200-5R0","EC288","Power is below specified limit","PHT_REPAIR"
"1651623014940","692-2G520-0221-5R0","981600","找不到设备/显卡(Device/board not recognized)-sn# fail","CHIFLASH_REPAIR"
"1651623014945","692-2G520-0221-5R0","Error","Processing failed: elementHandle.click: Element is not attached to the DOM
Call log:
[2m  - attempting click action[22m
[2m    - waiting for element to be visible, enabled and stable[22m
","CHIFLASH_REPAIR"
"1651623015111","692-2G520-0221-5R0","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","CHIFLASH_REPAIR"
"1651623015908","692-2G520-0200-5R0","981600","找不到设备/显卡(Device/board not recognized)-It cannot read serial number.","CHIFLASH_REPAIR"
"1651623017052","692-2G520-0200-5R0","EC097","unexpected device interrupts","FCT_REPAIR"
"1651623018283","692-2G520-0200-5R0","158001001_na","PHT(MODS_PHT(test-failed))","PHT_REPAIR"
"1651623018591","692-2G520-0200-5R0","EC539","NVRM Generic falcon error","FCT_REPAIR"
"1651623019292","692-2G520-0200-5R0","981600","找不到设备/显卡(Device/board not recognized)-SN FAIL","CHIFLASH_REPAIR"
"1651623020115","692-2G520-0200-5R0","EC288","Power is below specified limit","PHT_REPAIR"
"1651624019525","692-2G520-0200-5R0","EC220","pci device not found","BAT_REPAIR"
"1651624019764","692-2G520-0200-5R0","020000518288","Power is below specified limit","BAT_REPAIR"
"1651624021084","692-2G520-0200-5R0","EC534","MODS NOT REPORT ANY EC","PHT_REPAIR"
"1651624023496","692-2G520-0200-500","Error","Processing failed: page.waitForTimeout: Target page, context or browser has been closed","PHT_REPAIR"
"1651624023888","692-2G520-0200-500","EC210","Environment exception occurred, IST testing could not complete","IST_REPAIR"
"1651624024497","692-2G520-0200-500","EC139","Acceptable temperature limits exceeded or the thermal sensor is broken or miscalibrated","PHT_REPAIR"
"1651624024857","692-2G520-0200-500","020025127_na","vendorID-not-match","FLA_REPAIR"
"1651624025412","692-2G520-0200-500","EC445","Thermal resistance is too high-Top Level (recipe_sample) > BAT Monitor 0 (GPU_AVG, INPUT_TOTAL_BOARD2) R value (7.686e-05) is higher than allowed (7.200e-05),Top Level (recipe_sample) > BAT Monitor 1 (GPU_OFFSET_MAX, INPUT_TOTAL_BOARD2) R value (8.662e-05) is higher than allowed (8.500e-05)","BAT_REPAIR"
"1651624030722","692-2G520-0200-5R0","016033006_na","CEC_ATTEST(non-zero-exit-code)","BAT_REPAIR"
"1651624030905","692-2G520-0200-5R0","016033006_na","CEC_ATTEST(non-zero-exit-code)","BAT_REPAIR"
"1651624034209","692-2G520-0200-5R0","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9578394", waiting until "load"[22m
","CHIFLASH_REPAIR"
"1651624036195","692-2G520-0200-500","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","CHIFLASH_REPAIR"
"1651624036307","692-2G520-0200-500","EC143","PCI Express bus error","PHT_REPAIR"
"1651624036398","692-2G520-0200-500","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","PHT_REPAIR"
"1651624041242","692-2G506-0210-0R6","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/survey/9627917", waiting until "load"[22m
","BAT_REPAIR"
"1651624052266","692-2G520-0221-5R0","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","BAT_REPAIR"
"1651624056239","692-2G520-0200-5R0","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1651624057605","692-2G520-0200-5R0","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","BAT_REPAIR"
"1651624066352","692-2G520-0200-5R0","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1651624066873","692-2G520-0200-5R0","Error","Processing failed: page.goto: Timeout 30000ms exceeded.
Call log:
[2m  - navigating to "https://wareconn.com/r/Summary/pctls", waiting until "load"[22m
","BAT_REPAIR"
"1651624067420","692-2G520-0200-5R0","Error","Processing failed: elementHandle.press: Timeout 30000ms exceeded.
Call log:
[2m  - elementHandle.press("Enter")[22m
","BAT_REPAIR"
"1651624067537","692-2G520-0200-5R0","016033006_na","CEC_ATTEST(non-zero-exit-code)","BAT_REPAIR"
